slope_average,is_likely_text,image,slope_median
0.15968018482994814,False,http://i5.walmartimages.com/dfw/dce07b8c-c4cc/k2-_b72b10c4-c5b3-4eb4-966a-85571a804207.v1.jpg,0.041731981092551232
0.01001112944937539,False,http://i5.walmartimages.com/dfw/dce07b8c-5f8b/k2-_3e62dcb0-fd0d-46c0-aeef-abb21424a53e.v1.jpg,0.0
0.32702478993848055,False,http://i5.walmartimages.com/dfw/dce07b8c-1568/k2-_063dd95b-3019-4384-8a21-974c27fbe6ac.v3.jpg,0.285663274415283
0.07102821442787789,False,http://i5.walmartimages.com/dfw/dce07b8c-2fa2/k2-_6a16ac48-cd11-492f-9adf-b8ad5f9f1bc3.v1.jpg,0.038705061588422768
0.03267022160901314,True,http://i5.walmartimages.com/dfw/dce07b8c-9dec/k2-_3017fd7b-9975-4e49-8ac7-014db67d23c6.v2.jpg,0.018016394919376632
0.5223031324839128,False,http://i5.walmartimages.com/dfw/dce07b8c-73cf/k2-_1c92a407-204b-4649-a5f0-6c0b46813dcc.v1.jpg,0.53517357932539966
0.2333943051362927,False,http://i5.walmartimages.com/dfw/dce07b8c-1270/k2-_d2e5b84c-6bf0-42eb-8a34-a8258c20c669.v1.jpg,0.12278547623223997
0.3239720082654461,False,http://i5.walmartimages.com/dfw/dce07b8c-cf9f/k2-_8371559c-de71-40dc-9fa9-bc14644b8836.v1.jpg,0.21184645369036523
0.3121567075039667,False,http://i5.walmartimages.com/dfw/dce07b8c-6048/k2-_2e3a1fee-d7ae-45c2-9158-5a562d0c3e51.v2.jpg,0.25857610756766075
0.4767581844020129,False,http://i5.walmartimages.com/dfw/dce07b8c-94b1/k2-_d96d7438-22a2-4acd-b8f8-a7360fdb1aae.v1.jpg,0.41270287782044895
0.4489649933945297,False,http://i5.walmartimages.com/dfw/dce07b8c-11ba/k2-_3eec0f28-59d0-4979-8212-33aabd1a971f.v1.jpg,0.42248506283662057
0.1725061372842022,False,http://i5.walmartimages.com/dfw/dce07b8c-e866/k2-_c9a57493-b459-48fb-825d-16b5d57b7159.v1.jpg,0.18864365214110546
0.4456646107222736,False,http://i5.walmartimages.com/dfw/dce07b8c-c26e/k2-_fc46c217-b9c4-4d3a-8a50-807307966015.v1.jpg,0.3570918440222825
0.2817646379937405,False,http://i5.walmartimages.com/dfw/dce07b8c-38e8/k2-_ef9eb56f-04b1-45e1-80f9-b0be6361dc6d.v1.jpg,0.19147917663954045
0.2949056123912534,False,http://i5.walmartimages.com/dfw/dce07b8c-6abe/k2-_76911ae8-13d2-4f3e-92c0-4b0406e566b7.v1.jpg,0.21599565297737974
0.3956715859239593,False,http://i5.walmartimages.com/dfw/dce07b8c-88f5/k2-_22198101-8510-4fe1-8cd1-3ba28e714a8e.v2.jpg,0.44037110373138411
0.21024784482309278,False,http://i5.walmartimages.com/dfw/dce07b8c-7584/k2-_20d61adb-8fba-4b1b-a252-52ae660549c6.v1.jpg,0.076724385107035803
0.06808668834638895,False,http://i5.walmartimages.com/dfw/dce07b8c-749d/k2-_49fd6de7-0075-4242-a8ad-22ffee931fe8.v1.jpg,0.031005348422602903
0.026683963337482876,True,http://i5.walmartimages.com/dfw/dce07b8c-1038/k2-_9dbec318-fe2d-4f9a-bf69-a3d9b445bed6.v1.jpg,0.018806596706174079
0.5058565698367221,False,http://i5.walmartimages.com/dfw/dce07b8c-b699/k2-_a666966a-1fe2-4ff0-8d5d-1c281dd36d24.v1.jpg,0.5696487478583625
0.27533018619840266,False,http://i5.walmartimages.com/dfw/dce07b8c-476a/k2-_f222d186-7b9d-46e5-9143-f57d1dc38f85.v2.jpg,0.074060359192742092
0.11707606177400072,False,http://i5.walmartimages.com/dfw/dce07b8c-9b8c/k2-_db56814a-caff-466f-be9a-eb380b6aa604.v1.jpg,0.054538017655713436
0.4233857678485299,False,http://i5.walmartimages.com/dfw/dce07b8c-7b28/k2-_a2c0d0b2-8b2a-41f7-bd7c-ee9650572471.v2.jpg,0.38853580932131071
0.11482899516739448,False,http://i5.walmartimages.com/dfw/dce07b8c-fb08/k2-_bdd2dd22-d717-4d2f-adb4-ce8a7b320468.v1.jpg,0.052885970925704476
0.03277409108081958,True,http://i5.walmartimages.com/dfw/dce07b8c-18fa/k2-_034af6cd-5921-4c2f-9426-d6c99c308b7f.v1.jpg,0.021650636068422047
0.5478426017058865,False,http://i5.walmartimages.com/dfw/dce07b8c-805e/k2-_64b11a69-5fa3-4da5-83a5-19af6d3851f3.v1.jpg,0.53326223170243969
0.2977748795057869,False,http://i5.walmartimages.com/dfw/dce07b8c-f33e/k2-_850f3c60-8f3d-4457-ad36-6e18fce60560.v2.jpg,0.22157121974529156
0.26848891300535666,False,http://i5.walmartimages.com/dfw/dce07b8c-73c4/k2-_e08e6ef4-4381-4dab-a8c9-f3e2c28311a7.v2.jpg,0.19734245494013944
0.05829133761063921,False,http://i5.walmartimages.com/dfw/dce07b8c-1b9a/k2-_76e77710-58b3-4cd5-a8f5-b8603cd1f596.v2.jpg,0.019611536258408769
0.34865133522499153,False,http://i5.walmartimages.com/dfw/dce07b8c-a0f2/k2-_a22f9a95-9f29-424d-b5d3-bae6a33ccf7c.v1.jpg,0.2530211486118043
0.0690035301875962,False,http://i5.walmartimages.com/dfw/dce07b8c-852c/k2-_d6df045b-e2e4-482a-9549-5a7f8852f77f.v1.jpg,0.039994667377682973
0.31743256886758286,False,http://i5.walmartimages.com/dfw/dce07b8c-33f1/k2-_1c8cbf2f-6299-4750-8d28-af24276de9fc.v1.jpg,0.17837407059200167
0.3431824124616733,False,http://i5.walmartimages.com/dfw/dce07b8c-a9e2/k2-_797df9cb-8b95-491d-91bf-0ea1cbbc063c.v1.jpg,0.16362148895554948
0.0020813390204366526,True,http://i5.walmartimages.com/dfw/dce07b8c-3743/k2-_c2121dd9-b52c-43d3-b30a-b5bbc2cde85f.v1.jpg,0.0
0.13964559652751724,False,http://i5.walmartimages.com/dfw/dce07b8c-23b3/k2-_f23ded13-d2c8-4cee-83b8-35c5c77a366a.v1.jpg,0.08449514152936205
0.21790577734930774,False,http://i5.walmartimages.com/dfw/dce07b8c-468d/k2-_97b5f19d-ce81-43fc-b0dd-b2b968f42e1a.v1.jpg,0.10139688664695594
0.49445419286428804,False,http://i5.walmartimages.com/dfw/dce07b8c-3221/k2-_4fff83da-1e3d-4df6-a1c7-67aef57c636f.v1.jpg,0.49429943461886627
0.32306919472392176,False,http://i5.walmartimages.com/dfw/dce07b8c-a4c2/k2-_7edc4dc8-a248-4ef1-afa8-860e1804391e.v1.jpg,0.19668906736600558
0.5852020907829555,False,http://i5.walmartimages.com/dfw/dce07b8c-bc76/k2-_66c72634-900a-4649-b309-7005d7b90a31.v1.jpg,0.61759804274402597
0.11910027535840567,False,http://i5.walmartimages.com/dfw/dce07b8c-6580/k2-_bbb5b8ec-1382-40d5-a32c-fe039d7a80af.v1.jpg,0.076908286867910014
0.4848687862967926,False,http://i5.walmartimages.com/dfw/dce07b8c-1f04/k2-_a13b68aa-76b8-448a-b473-31a71bf86d13.v1.jpg,0.54537191334646262
0.07328057889191691,False,http://i5.walmartimages.com/dfw/dce07b8c-841b/k2-_73d6c3fb-83d8-4fe7-bb32-81a8da581923.v3.jpg,0.033892560582952043
0.46158979158735935,False,http://i5.walmartimages.com/dfw/dce07b8c-a990/k2-_2ebe6809-162a-4e71-b429-615205ab0c0e.v1.jpg,0.44941499139873742
0.3702472143384045,False,http://i5.walmartimages.com/dfw/dce07b8c-8099/k2-_62fed463-3e88-4b9d-a26b-da17d5fff4ea.v1.jpg,0.39264826963781285
0.18386599664573589,False,http://i5.walmartimages.com/dfw/dce07b8c-4b4e/k2-_3d935136-d497-4e00-9ba5-63538125b119.v2.jpg,0.086192035855886917
0.3384880482341458,False,http://i5.walmartimages.com/dfw/dce07b8c-663e/k2-_7497eb81-44e1-43e2-a6c1-70b81027a3d0.v1.jpg,0.32389804252922122
0.3037827465964881,False,http://i5.walmartimages.com/dfw/dce07b8c-7862/k2-_4ed2a749-3233-4cea-9d3d-8afb752f6cae.v1.jpg,0.23724792408066431
0.003006882961803105,True,http://i5.walmartimages.com/dfw/dce07b8c-3c90/k2-_fac577c7-a6cf-4806-9031-2a4ef969b1e2.v1.jpg,0.0
0.10061892892379631,False,http://i5.walmartimages.com/dfw/dce07b8c-bc85/k2-_9dc42b70-5c18-40d0-84e4-c4a501da19f5.v1.jpg,0.032485462902320385
0.1278595837783622,False,http://i5.walmartimages.com/dfw/dce07b8c-43fb/k2-_ba93edde-20f5-492b-8397-17a99eb9fefe.v1.jpg,0.024387269845140835
0.047497751642648786,True,http://i5.walmartimages.com/dfw/dce07b8c-cbf0/k2-_146469c2-24ec-4653-939f-c585d6c8252b.v1.jpg,0.035203632407245819
0.16853614182464927,False,http://i5.walmartimages.com/dfw/dce07b8c-7f6b/k2-_f1976f4d-a038-46b9-af9d-63881b733b2d.v1.jpg,0.05989296878863367
0.2821818267358005,False,http://i5.walmartimages.com/dfw/dce07b8c-a272/k2-_4ab2caca-c096-4cf5-abdd-5494a9a96b54.v1.jpg,0.24256466589998291
0.24704217892034955,False,http://i5.walmartimages.com/dfw/dce07b8c-708b/k2-_e71a9796-edc0-490b-952e-424cc6d83508.v1.jpg,0.23069723885780941
0.478159588684182,False,http://i5.walmartimages.com/dfw/dce07b8c-962e/k2-_708a5c98-69ae-4562-b393-84f18f71d3d7.v1.jpg,0.50038999461689471
0.4741184200208637,False,http://i5.walmartimages.com/dfw/dce07b8c-503a/k2-_0e194280-f03a-4823-b794-12c2e0cd2d1d.v1.jpg,0.47360112261006843
0.19069981125238578,False,http://i5.walmartimages.com/dfw/dce07b8c-c36a/k2-_ea8ba7f9-4c46-49f1-9c83-52f1edcefcbc.v2.jpg,0.15996800639872027
0.6206034381241045,False,http://i5.walmartimages.com/dfw/dce07b8c-5ac5/k2-_7a999725-7db5-4828-8ec8-aba5df6c837f.v1.jpg,0.81002404758891278
0.5821296594332276,False,http://i5.walmartimages.com/dfw/dce07b8c-ae01/k2-_d23967d6-94de-4437-b42c-2deb8dc43dc5.v1.jpg,0.96219666159044204
0.5139479678055652,False,http://i5.walmartimages.com/dfw/dce07b8c-4d63/k2-_206e1440-a24d-48e7-8b6c-12e56b28886a.v1.jpg,0.51081404195196167
0.4082683224520165,False,http://i5.walmartimages.com/dfw/dce07b8c-3ed8/k2-_55d919a0-1ddd-45e6-89d7-81fc84f699ce.v3.jpg,0.37711107269185629
0.17395916595821548,False,http://i5.walmartimages.com/dfw/dce07b8c-628a/k2-_eb56da56-5b86-46f9-aa64-f92388ece8c0.v1.jpg,0.17458931830807078
0.1362236495778493,False,http://i5.walmartimages.com/dfw/dce07b8c-fe33/k2-_7ac32544-50db-403c-8d6c-20be06abbbc5.v2.jpg,0.036693881295294009
0.031413216900613654,True,http://i5.walmartimages.com/dfw/dce07b8c-f971/k2-_35e0fc9f-9134-4c79-8e24-29a854d825a2.v1.jpg,0.027024592379064946
0.28739937225991447,False,http://i5.walmartimages.com/dfw/dce07b8c-bded/k2-_875f5ee2-e403-42c0-9e30-30afc29951e9.v1.jpg,0.23435669088352473
0.4804833114843957,False,http://i5.walmartimages.com/dfw/dce07b8c-8c90/k2-_e31f085b-a909-455d-a28f-155a88e75328.v1.jpg,0.4239175810559635
0.6317527756889704,False,http://i5.walmartimages.com/dfw/dce07b8c-d9e1/k2-_bb3aa881-a2e6-4c15-a6f4-debdc5a7fcb8.v1.jpg,0.81381612880101772
0.16563751359037757,False,http://i5.walmartimages.com/dfw/dce07b8c-a4f7/k2-_34d1c307-54ab-402b-abf8-a9dfb8e81dd2.v2.jpg,0.11999314324895721
0.006403174776873342,True,http://i5.walmartimages.com/dfw/dce07b8c-9a31/k2-_f74aacd0-d4ec-4b25-8e68-f1d186920d0b.v1.jpg,0.0
0.5601127027901458,False,http://i5.walmartimages.com/dfw/dce07b8c-5fbb/k2-_29177e41-3c57-4ac0-a79b-f8136e0ae0e8.v1.jpg,0.58610584382003106
0.5230235804695939,False,http://i5.walmartimages.com/dfw/dce07b8c-3755/k2-_c7c386a7-f95f-41c0-801b-3a21a9bb6685.v1.jpg,0.45581532127628288
0.315493797417319,False,http://i5.walmartimages.com/dfw/dce07b8c-e86a/k2-_01f95daf-7f01-4acf-9a21-b93ee6781bc7.v1.jpg,0.20479460305987229
0.1734416907942766,False,http://i5.walmartimages.com/dfw/dce07b8c-d8a0/k2-_eeac777b-218f-432e-bfc3-a49e2e88b388.v1.jpg,0.027773920288848768
0.3367578314050709,False,http://i5.walmartimages.com/dfw/dce07b8c-e68e/k2-_ea487bc5-dfaf-49aa-903c-2793fa6e69ab.v1.jpg,0.25485198980592044
0.08805194890456927,False,http://i5.walmartimages.com/dfw/dce07b8c-b324/k2-_051e7af4-d545-453a-96a1-a469275d8823.v3.jpg,0.049991668055324116
0.4086392376711744,False,http://i5.walmartimages.com/dfw/dce07b8c-340c/k2-_3dffcad6-68a8-4d2e-aaf3-5eb4ce2fe094.v1.jpg,0.42305529550593446
0.35472185753694246,False,http://i5.walmartimages.com/dfw/dce07b8c-fe41/k2-_23501940-20c9-4777-a5f1-50dea8fe9318.v1.jpg,0.25449918196691512
0.4730991022807463,False,http://i5.walmartimages.com/dfw/dce07b8c-abf5/k2-_a4136c87-b8e9-470c-ad49-f1d44cbd2895.v1.jpg,0.42637429572102942
0.0025866597244904466,True,http://i5.walmartimages.com/dfw/dce07b8c-2bb8/k2-_a58dc029-57d2-41d2-b206-75dd3a307a1f.v1.jpg,0.0
0.1416675606899766,False,http://i5.walmartimages.com/dfw/dce07b8c-d5ee/k2-_5875764e-12ec-4127-aa7f-cf99ed6739e0.v5.jpg,0.11214453627635876
0.26878780801613505,False,http://i5.walmartimages.com/dfw/dce07b8c-706b/k2-_84e2279b-a6f0-45a8-9111-808daa3002dd.v1.jpg,0.20335536349771227
0.12992418146953608,False,http://i5.walmartimages.com/dfw/dce07b8c-2464/k2-_85a80daa-f956-4f65-a5b7-9249a1ad3aee.v1.jpg,0.089634693434090501
0.26709953486216503,False,http://i5.walmartimages.com/dfw/dce07b8c-d492/k2-_ab06c37c-fb74-47aa-8e73-a8ff4c3e399e.v1.jpg,0.063822997553451763
0.06387457751789945,False,http://i5.walmartimages.com/dfw/dce07b8c-af15/k2-_a744ae8e-9af7-4a56-ac82-8eeea572e754.v1.jpg,0.027023375219564921
0.39530120487896797,False,http://i5.walmartimages.com/dfw/dce07b8c-e7aa/k2-_ca832a48-4bc1-4038-8869-6af917d9537a.v1.jpg,0.40278752891687186
0.3096200975919024,False,http://i5.walmartimages.com/dfw/dce07b8c-b5ad/k2-_05a1d63d-a6ca-4ad0-b5c0-db919887a75b.v4.jpg,0.31993601279744055
0.4547007070438308,False,http://i5.walmartimages.com/dfw/dce07b8c-2f9e/k2-_e82c16a5-9872-4e45-91f0-c476ba9364bf.v1.jpg,0.46024440564989688
0.274476847542303,False,http://i5.walmartimages.com/dfw/dce07b8c-b3cf/k2-_aee9ef10-369c-493a-9e69-0af8201976fd.v1.jpg,0.15382643250865272
0.5641756127995854,False,http://i5.walmartimages.com/dfw/dce07b8c-780d/k2-_29380a9c-840f-42ee-aad8-c20b8d9e05f0.v1.jpg,0.58420402201999777
0.4026656910620928,False,http://i5.walmartimages.com/dfw/dce07b8c-6a46/k2-_43920e52-d717-434b-b1e0-0f499328166b.v1.jpg,0.25994801039792043
0.30435080730804687,False,http://i5.walmartimages.com/dfw/dce07b8c-41ab/k2-_cb7cc51c-86fb-4122-9fc5-b5cd44e2c77f.v1.jpg,0.17746509245442507
